schema_version,experiment_id,phase,repeat_index,scenario_id,random_seed,job_id,server_version,pgvector_version,request_index,request_id,submission_id,doc_id,pool_id,endpoint_id,gpu_id,prompt_tokens,estimated_output_tokens,client_estimated_output_tokens,actual_output_tokens,output_token_source,total_tokens,finish_reason,prefix_key,status,error_type,arrival_epoch_s,flush_epoch_s,submit_epoch_s,service_start_epoch_s,completion_epoch_s,buffer_s,submit_to_service_s,service_s,service_clock_domain,e2e_s,request_time_origin,latency_granularity,slo_target_s,slo_met
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,0,1105:row:300000,1105:request:300000,300000,default,endpoint-1,0,36,252,173,256,endpoint_request,292,length,22dd9145453181ec,completed,,1785485452.0109012,1785485453.6663878,1785485453.9881856,1785485453.992695,1785485459.0055938,1.6554865837097168,0.004509449005126953,5.01054835319519,backend,6.99469256401062,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,1,1105:row:300001,1105:request:300001,300001,default,endpoint-1,0,328,256,194,256,endpoint_request,584,length,22dd9145453181ec,completed,,1785485452.0109012,1785485453.6663878,1785485453.9929671,1785485454.0003262,1785485459.0618525,1.6554865837097168,0.007359027862548828,5.023606538772583,backend,7.050951242446899,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,2,1105:row:300002,1105:request:300002,300002,default,endpoint-1,0,680,256,202,256,endpoint_request,936,length,22dd9145453181ec,completed,,1785485452.0109012,1785485453.6663878,1785485453.9968572,1785485454.0020695,1785485459.0356162,1.6554865837097168,0.005212306976318359,5.021345376968384,backend,7.024714946746826,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,3,1105:row:300003,1105:request:300003,300003,default,endpoint-1,0,1001,256,228,256,endpoint_request,1257,length,22dd9145453181ec,completed,,1785485452.0109012,1785485453.6663878,1785485454.000015,1785485454.0080497,1785485459.0416572,1.6554865837097168,0.008034706115722656,5.014807224273682,backend,7.030755996704102,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,4,1105:row:300004,1105:request:300004,300004,default,endpoint-3,1,19,73,179,256,endpoint_request,275,length,f0653b2a82608a5b,completed,,1785485452.0109012,1785485453.6663878,1785485454.006843,1785485454.0101056,1785485458.98127,1.6554865837097168,0.0032625198364257812,4.968526601791382,backend,6.9703688621521,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,5,1105:row:300005,1105:request:300005,300005,default,endpoint-3,1,64,256,143,256,endpoint_request,320,length,4517dec760e3df20,completed,,1785485452.0109012,1785485453.6663878,1785485454.0097291,1785485454.0168798,1785485459.0222063,1.6554865837097168,0.0071506500244140625,4.999389886856079,backend,7.011305093765259,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,6,1105:row:300006,1105:request:300006,300006,default,endpoint-1,0,92,127,178,256,endpoint_request,348,length,e8092da46cb86f4e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0122356,1785485454.0135078,1785485459.027613,1.6554865837097168,0.0012722015380859375,5.005908012390137,backend,7.016711711883545,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,7,1105:row:300007,1105:request:300007,300007,default,endpoint-1,0,227,256,215,256,endpoint_request,483,length,e8092da46cb86f4e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0147662,1785485454.0157762,1785485459.061179,1.6554865837097168,0.0010099411010742188,5.00646710395813,backend,7.0502777099609375,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,8,1105:row:300008,1105:request:300008,300008,default,endpoint-1,0,518,256,201,256,endpoint_request,774,length,e8092da46cb86f4e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0171974,1785485454.018135,1785485459.028715,1.6554865837097168,0.0009377002716064453,5.006368398666382,backend,7.017813682556152,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,9,1105:row:300009,1105:request:300009,300009,default,endpoint-1,0,860,256,166,256,endpoint_request,1116,length,e8092da46cb86f4e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0195093,1785485454.0213614,1785485459.054042,1.6554865837097168,0.0018520355224609375,5.015751838684082,backend,7.043140888214111,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,10,1105:row:300010,1105:request:300010,300010,default,endpoint-1,0,1254,256,164,256,endpoint_request,1510,length,e8092da46cb86f4e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0219488,1785485454.0230176,1785485459.0391688,1.6554865837097168,0.0010688304901123047,5.0132529735565186,backend,7.0282676219940186,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,11,1105:row:300011,1105:request:300011,300011,default,endpoint-3,1,458,256,198,256,endpoint_request,714,length,8e688111968a38b4,completed,,1785485452.0109012,1785485453.6663878,1785485454.0251634,1785485454.026568,1785485459.0241258,1.6554865837097168,0.0014045238494873047,4.991567850112915,backend,7.0132246017456055,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,12,1105:row:300012,1105:request:300012,300012,default,endpoint-3,1,983,256,164,256,endpoint_request,1239,length,8e688111968a38b4,completed,,1785485452.0109012,1785485453.6663878,1785485454.0281134,1785485454.0295813,1785485459.0294938,1.6554865837097168,0.0014679431915283203,4.989387512207031,backend,7.018592596054077,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,13,1105:row:300013,1105:request:300013,300013,default,endpoint-3,1,780,256,202,256,endpoint_request,1036,length,e6470c83ae4ac7fe,completed,,1785485452.0109012,1785485453.6663878,1785485454.0309968,1785485454.0321836,1785485459.0322325,1.6554865837097168,0.0011868476867675781,4.987597227096558,backend,7.021331310272217,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,14,1105:row:300014,1105:request:300014,300014,default,endpoint-1,0,268,187,196,256,endpoint_request,524,length,261ad0bb4b0ec960,completed,,1785485452.0109012,1785485453.6663878,1785485454.0341628,1785485454.035882,1785485459.0384507,1.6554865837097168,0.0017192363739013672,4.998253107070923,backend,7.027549505233765,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,15,1105:row:300015,1105:request:300015,300015,default,endpoint-2,1,18,181,183,256,endpoint_request,274,length,60357f9f8600fde5,completed,,1785485452.0109012,1785485453.6663878,1785485454.0372696,1785485454.0411386,1785485459.3251162,1.6554865837097168,0.0038690567016601562,5.281150817871094,backend,7.3142149448394775,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,16,1105:row:300016,1105:request:300016,300016,default,endpoint-2,1,211,256,152,256,endpoint_request,467,length,60357f9f8600fde5,completed,,1785485452.0109012,1785485453.6663878,1785485454.0402958,1785485454.047724,1785485459.3532186,1.6554865837097168,0.007428169250488281,5.28934121131897,backend,7.342317342758179,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,17,1105:row:300017,1105:request:300017,300017,default,endpoint-2,1,657,256,147,256,endpoint_request,913,length,60357f9f8600fde5,completed,,1785485452.0109012,1785485453.6663878,1785485454.0434408,1785485454.048121,1785485459.3391347,1.6554865837097168,0.004680156707763672,5.2893548011779785,backend,7.328233480453491,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,18,1105:row:300018,1105:request:300018,300018,default,endpoint-2,1,967,256,117,256,endpoint_request,1223,length,60357f9f8600fde5,completed,,1785485452.0109012,1785485453.6663878,1785485454.0466328,1785485454.0500324,1785485459.3490682,1.6554865837097168,0.0033996105194091797,5.286670684814453,backend,7.338166952133179,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,19,1105:row:300019,1105:request:300019,300019,default,endpoint-1,0,19,6,80,97,endpoint_request,116,stop,8c4e0fc3dd959243,completed,,1785485452.0109012,1785485453.6663878,1785485454.0497298,1785485454.051823,1785485456.4363074,1.6554865837097168,0.002093076705932617,2.3827080726623535,backend,4.425406217575073,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,20,1105:row:300020,1105:request:300020,300020,default,endpoint-1,0,376,7,68,85,endpoint_request,461,stop,8c4e0fc3dd959243,completed,,1785485452.0109012,1785485453.6663878,1785485454.0528953,1785485454.054597,1785485456.2290468,1.6554865837097168,0.0017015933990478516,2.1723721027374268,backend,4.2181456089019775,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,21,1105:row:300021,1105:request:300021,300021,default,endpoint-1,0,738,1,0,1,endpoint_request,739,stop,8c4e0fc3dd959243,completed,,1785485452.0109012,1785485453.6663878,1785485454.0559509,1785485454.0571034,1785485455.1273494,1.6554865837097168,0.0011525154113769531,0.06010007858276367,backend,3.116448163986206,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,22,1105:row:300022,1105:request:300022,300022,default,endpoint-3,1,7,255,209,256,endpoint_request,263,length,48ee0f9248697686,completed,,1785485452.0109012,1785485453.6663878,1785485454.0587745,1785485454.0604227,1785485459.1707525,1.6554865837097168,0.0016481876373291016,5.1054911613464355,backend,7.159851312637329,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,23,1105:row:300023,1105:request:300023,300023,default,endpoint-3,1,272,244,182,256,endpoint_request,528,length,48ee0f9248697686,completed,,1785485452.0109012,1785485453.6663878,1785485454.0619476,1785485454.0631232,1785485459.168282,1.6554865837097168,0.0011756420135498047,5.099439859390259,backend,7.157380819320679,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,24,1105:row:300024,1105:request:300024,300024,default,endpoint-3,1,530,256,197,256,endpoint_request,786,length,48ee0f9248697686,completed,,1785485452.0109012,1785485453.6663878,1785485454.0649803,1785485454.0662038,1785485459.169704,1.6554865837097168,0.0012235641479492188,5.099053621292114,backend,7.15880274772644,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,25,1105:row:300025,1105:request:300025,300025,default,endpoint-3,1,833,256,191,256,endpoint_request,1089,length,48ee0f9248697686,completed,,1785485452.0109012,1785485453.6663878,1785485454.0682752,1785485454.069476,1785485459.1840518,1.6554865837097168,0.0012006759643554688,5.095041990280151,backend,7.173150539398193,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,26,1105:row:300026,1105:request:300026,300026,default,endpoint-0,0,52,256,198,256,endpoint_request,308,length,1caac412c8dec5a9,completed,,1785485452.0109012,1785485453.6663878,1785485454.0713286,1785485454.0749736,1785485459.303268,1.6554865837097168,0.0036449432373046875,5.224573612213135,backend,7.2923667430877686,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,27,1105:row:300027,1105:request:300027,300027,default,endpoint-0,0,692,256,188,256,endpoint_request,948,length,1caac412c8dec5a9,completed,,1785485452.0109012,1785485453.6663878,1785485454.07481,1785485454.0821905,1785485459.3353503,1.6554865837097168,0.007380485534667969,5.250900745391846,backend,7.324449062347412,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,28,1105:row:300028,1105:request:300028,300028,default,endpoint-2,1,12,194,158,256,endpoint_request,268,length,ef3e2aabe0d2120e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0780406,1785485454.0800269,1785485459.3844078,1.6554865837097168,0.001986265182495117,5.287919282913208,backend,7.373506546020508,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,29,1105:row:300029,1105:request:300029,300029,default,endpoint-2,1,222,205,171,256,endpoint_request,478,length,ef3e2aabe0d2120e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0814118,1785485454.082909,1785485459.415073,1.6554865837097168,0.0014972686767578125,5.282896041870117,backend,7.404171705245972,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,30,1105:row:300030,1105:request:300030,300030,default,endpoint-2,1,462,256,166,256,endpoint_request,718,length,ef3e2aabe0d2120e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0845656,1785485454.0856743,1785485459.380216,1.6554865837097168,0.0011086463928222656,5.281903982162476,backend,7.369314670562744,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,31,1105:row:300031,1105:request:300031,300031,default,endpoint-2,1,729,188,139,207,endpoint_request,936,stop,ef3e2aabe0d2120e,completed,,1785485452.0109012,1785485453.6663878,1785485454.0887413,1785485454.0899296,1785485458.3410811,1.6554865837097168,0.0011882781982421875,4.249785423278809,backend,6.330179929733276,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,32,1105:row:300032,1105:request:300032,300032,default,endpoint-2,1,927,190,119,159,endpoint_request,1086,stop,ef3e2aabe0d2120e,completed,,1785485452.0109012,1785485453.6663878,1785485454.091902,1785485454.0931385,1785485457.5196536,1.6554865837097168,0.0012364387512207031,3.4242496490478516,backend,5.508752346038818,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,33,1105:row:300033,1105:request:300033,300033,default,endpoint-2,1,1127,237,162,256,endpoint_request,1383,length,ef3e2aabe0d2120e,completed,,1785485452.0109012,1785485453.6663878,1785485454.095022,1785485454.0962627,1785485459.3757668,1.6554865837097168,0.0012407302856445312,5.270887136459351,backend,7.36486554145813,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,34,1105:row:300034,1105:request:300034,300034,default,endpoint-0,0,378,256,87,256,endpoint_request,634,length,e15a8bd8e45a819d,completed,,1785485452.0109012,1785485453.6663878,1785485454.0981476,1785485454.1006694,1785485459.3621266,1.6554865837097168,0.0025217533111572266,5.254235029220581,backend,7.35122537612915,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,35,1105:row:300035,1105:request:300035,300035,default,endpoint-0,0,1098,256,151,256,endpoint_request,1354,length,e15a8bd8e45a819d,completed,,1785485452.0109012,1785485453.6663878,1785485454.101337,1785485454.1041548,1785485459.3576849,1.6554865837097168,0.002817869186401367,5.250181674957275,backend,7.346783638000488,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,36,1105:row:300036,1105:request:300036,300036,default,endpoint-1,0,432,256,170,256,endpoint_request,688,length,d474580f69cc0918,completed,,1785485452.0109012,1785485453.6663878,1785485454.10446,1785485454.1065133,1785485459.27161,1.6554865837097168,0.0020532608032226562,5.158749103546143,backend,7.260708808898926,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,37,1105:row:300037,1105:request:300037,300037,default,endpoint-1,0,975,256,130,256,endpoint_request,1231,length,d474580f69cc0918,completed,,1785485452.0109012,1785485453.6663878,1785485454.1068738,1785485454.1097493,1785485459.2669063,1.6554865837097168,0.0028755664825439453,5.154613494873047,backend,7.256005048751831,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,38,1105:row:300038,1105:request:300038,300038,default,endpoint-1,0,1285,238,206,244,endpoint_request,1529,stop,d474580f69cc0918,completed,,1785485452.0109012,1785485453.6663878,1785485454.109888,1785485454.1113148,1785485458.876664,1.6554865837097168,0.00142669677734375,4.763106107711792,backend,6.865762710571289,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,39,1105:row:300039,1105:request:300039,300039,default,endpoint-0,0,400,54,161,256,endpoint_request,656,length,2b2622ecb1ab2ede,completed,,1785485452.0109012,1785485453.6663878,1785485454.113247,1785485454.1146193,1785485459.3750641,1.6554865837097168,0.0013723373413085938,5.257161855697632,backend,7.364162921905518,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,40,1105:row:300040,1105:request:300040,300040,default,endpoint-0,0,526,177,140,256,endpoint_request,782,length,2b2622ecb1ab2ede,completed,,1785485452.0109012,1785485453.6663878,1785485454.1163266,1785485454.1174355,1785485459.404879,1.6554865837097168,0.0011088848114013672,5.252438068389893,backend,7.393977880477905,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,41,1105:row:300041,1105:request:300041,300041,default,endpoint-0,0,719,125,141,220,endpoint_request,939,stop,2b2622ecb1ab2ede,completed,,1785485452.0109012,1785485453.6663878,1785485454.1191702,1785485454.1203268,1785485458.6129014,1.6554865837097168,0.0011565685272216797,4.490394830703735,backend,6.6020002365112305,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,42,1105:row:300042,1105:request:300042,300042,default,endpoint-0,0,853,254,167,256,endpoint_request,1109,length,2b2622ecb1ab2ede,completed,,1785485452.0109012,1785485453.6663878,1785485454.1224182,1785485454.1235416,1785485459.3907754,1.6554865837097168,0.0011234283447265625,5.247654676437378,backend,7.379874229431152,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,43,1105:row:300043,1105:request:300043,300043,default,endpoint-0,0,1173,256,142,256,endpoint_request,1429,length,2b2622ecb1ab2ede,completed,,1785485452.0109012,1785485453.6663878,1785485454.125534,1785485454.1266851,1785485459.4157617,1.6554865837097168,0.0011510848999023438,5.243894100189209,backend,7.404860496520996,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,44,1105:row:300044,1105:request:300044,300044,default,endpoint-2,1,396,144,141,256,endpoint_request,652,length,8547ed4e304c18ee,completed,,1785485452.0109012,1785485453.6663878,1785485454.1286814,1785485454.13053,1785485459.43394,1.6554865837097168,0.0018486976623535156,5.293281555175781,backend,7.423038721084595,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,45,1105:row:300045,1105:request:300045,300045,default,endpoint-2,1,549,256,175,256,endpoint_request,805,length,8547ed4e304c18ee,completed,,1785485452.0109012,1785485453.6663878,1785485454.1316736,1785485454.1329713,1785485459.4386542,1.6554865837097168,0.0012977123260498047,5.291302680969238,backend,7.42775297164917,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,46,1105:row:300046,1105:request:300046,300046,default,endpoint-2,1,891,171,171,256,endpoint_request,1147,length,8547ed4e304c18ee,completed,,1785485452.0109012,1785485453.6663878,1785485454.1344547,1785485454.1355739,1785485459.5512202,1.6554865837097168,0.0011191368103027344,5.397270441055298,backend,7.540318965911865,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,47,1105:row:300047,1105:request:300047,300047,default,endpoint-2,1,1076,256,174,256,endpoint_request,1332,length,8547ed4e304c18ee,completed,,1785485452.0109012,1785485453.6663878,1785485454.1370194,1785485454.138131,1785485459.5423937,1.6554865837097168,0.0011115074157714844,5.395629167556763,backend,7.531492471694946,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,48,1105:row:300048,1105:request:300048,300048,default,endpoint-2,1,104,143,169,256,endpoint_request,360,length,33ddfd8a70fd3d90,completed,,1785485452.0109012,1785485453.6663878,1785485454.14057,1785485454.14162,1785485459.5505428,1.6554865837097168,0.0010499954223632812,5.391622304916382,backend,7.539641618728638,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,49,1105:row:300049,1105:request:300049,300049,default,endpoint-2,1,352,256,157,256,endpoint_request,608,length,33ddfd8a70fd3d90,completed,,1785485452.0109012,1785485453.6663878,1785485454.1435022,1785485454.1445675,1785485459.5356739,1.6554865837097168,0.0010652542114257812,5.3854124546051025,backend,7.524772644042969,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,50,1105:row:300050,1105:request:300050,300050,default,endpoint-2,1,924,232,132,256,endpoint_request,1180,length,33ddfd8a70fd3d90,completed,,1785485452.0109012,1785485453.6663878,1785485454.148149,1785485454.1521237,1785485459.5372694,1.6554865837097168,0.0039746761322021484,5.3802149295806885,backend,7.526368141174316,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,51,1105:row:300051,1105:request:300051,300051,default,endpoint-2,1,1166,163,165,246,endpoint_request,1412,stop,33ddfd8a70fd3d90,completed,,1785485452.0109012,1785485453.6663878,1785485454.1540744,1785485454.1554077,1785485459.1891148,1.6554865837097168,0.0013332366943359375,5.0278871059417725,backend,7.178213596343994,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,52,1105:row:300052,1105:request:300052,300052,default,endpoint-2,1,1379,79,96,133,endpoint_request,1512,stop,33ddfd8a70fd3d90,completed,,1785485452.0109012,1785485453.6663878,1785485454.1566515,1785485454.1578267,1785485457.0380278,1.6554865837097168,0.0011751651763916016,2.8772988319396973,backend,5.0271265506744385,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,53,1105:row:300053,1105:request:300053,300053,default,endpoint-3,1,10,124,121,147,endpoint_request,157,stop,175a154f3b80e7fc,completed,,1785485452.0109012,1785485453.6663878,1785485454.159087,1785485454.1607552,1785485457.2309299,1.6554865837097168,0.0016682147979736328,3.0682997703552246,backend,5.220028638839722,offline_job_start,request,30.0,True
3,prefix_cache_routing_4ep_1.5b_hitrate,formal,2,route_affinity_tb,20260729,1105,18.4 (Ubuntu 18.4-1.pgdg22.04+1),0.8.5,54,1105:row:300054,1105:request:300054,300054,default,endpoint-3,1,149,18,140,214,endpoint_request,363,stop,175a154f3b80e7fc,completed,,1785485452.0109012,1785485453.6663878,1785485454.1617005,1785485454.1629152,1785485458.3240306,1.6554865837097168,0.001214742660522461,4.159481048583984,backend,6.313129425048828,offline_job_start,request,30.0,True
