schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,flush_policy,flush_timeout_ms,flush_max_wait_ms,arrival_time_scale,trace_index,elapsed_s,pending_rows,pending_tokens,oldest_age_s,action,reason,selected_wait_s,window_reason
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,0,0.0,1,546,0.0,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,1,0.0319999999992433,2,1075,0.0319999999992433,flush,fixed_timeout,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,2,0.06300000000192085,1,574,0.006500000003143214,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,3,0.09399999999732245,1,574,0.03749999999854481,flush,fixed_timeout,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,4,0.09399999999732245,1,602,0.004000000000814907,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,5,0.125,3,1635,0.03500000000349246,flush,fixed_timeout,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,6,0.14099999999598367,1,778,0.01299999999901047,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,7,0.1569999999992433,2,1306,0.0290000000022701,flush,fixed_timeout,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,8,0.21899999999732245,1,529,0.016499999997904524,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,9,0.23500000000058208,1,529,0.03250000000116415,flush,fixed_timeout,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,10,0.2819999999992433,1,517,0.016999999999825377,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,11,0.2969999999986612,2,1079,0.0319999999992433,flush,fixed_timeout,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,12,0.3280000000013388,1,522,0.011500000000523869,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,13,0.34399999999732245,2,1058,0.02749999999650754,flush,fixed_timeout,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,14,0.375,1,545,0.006999999997788109,wait,fixed_timeout_wait,0.025,fixed_timeout
2,adaptive_flush_chatml_deterministic_gate_20260726,formal,1,1034,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,25.0,50.0,0.0005,15,0.4069999999992433,2,1119,0.03899999999703141,flush,fixed_timeout,0.025,fixed_timeout
