schema_version,experiment_id,phase,repeat_index,job_id,server_version,pgvector_version,flush_policy,flush_timeout_ms,flush_max_wait_ms,arrival_time_scale,trace_index,elapsed_s,pending_rows,pending_tokens,oldest_age_s,action,reason,selected_wait_s,window_reason
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,0,0.0,1,546,0.0,wait,fixed_timeout_wait,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,1,0.062000000005355105,2,1075,0.062000000005355105,flush,fixed_timeout,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,2,0.062000000005355105,1,574,0.005499999999301508,wait,fixed_timeout_wait,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,3,0.10900000001129229,3,1692,0.05250000000523869,flush,fixed_timeout,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,4,0.125,1,517,0.010999999998603016,wait,fixed_timeout_wait,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,5,0.17200000000593718,3,1823,0.0580000000045402,flush,fixed_timeout,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,6,0.21800000000803266,1,529,0.015500000008614734,wait,fixed_timeout_wait,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,7,0.2649999999994179,1,529,0.0625,flush,fixed_timeout,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,8,0.2649999999994179,1,517,0.0,wait,fixed_timeout_wait,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,9,0.32800000000861473,2,1079,0.06300000000919681,flush,fixed_timeout,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,10,0.32800000000861473,1,522,0.011500000007799827,wait,fixed_timeout_wait,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,11,0.375,2,1058,0.05849999999918509,flush,fixed_timeout,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,12,0.375,1,545,0.006999999997788109,wait,fixed_timeout_wait,0.05,fixed_timeout
2,interference_bulk_aimd_background_r2,formal,1,1182,18.4 (Debian 18.4-1.pgdg12+1),0.8.2,fixed_timeout,50.0,50.0,0.0005,13,0.4220000000059372,3,1637,0.05400000000372529,flush,fixed_timeout,0.05,fixed_timeout
